States,Years,Quarter,Brands,Percentage,Transaction_Count
andaman-&-nicobar-islands,2019,1,Others,0.0894816089481609,1664
andaman-&-nicobar-islands,2019,2,Xiaomi,0.24370714647278083,5296
andaman-&-nicobar-islands,2019,2,Samsung,0.19166168146886936,4165
andaman-&-nicobar-islands,2019,2,Vivo,0.18876259721135705,4102
andaman-&-nicobar-islands,2019,2,Oppo,0.08766278588191984,1905
andaman-&-nicobar-islands,2019,2,Realme,0.04656941696194377,1012
andaman-&-nicobar-islands,2019,2,OnePlus,0.04371634991486816,950
andaman-&-nicobar-islands,2019,2,Huawei,0.029635083521236942,644
andaman-&-nicobar-islands,2019,2,Motorola,0.028990842575123098,630
andaman-&-nicobar-islands,2019,2,Apple,0.026183792738484195,569
andaman-&-nicobar-islands,2019,2,Lenovo,0.021950209378307488,477
andaman-&-nicobar-islands,2019,2,Others,0.09116009387510929,1981
andaman-&-nicobar-islands,2019,3,Xiaomi,0.24315741088964105,5819
andaman-&-nicobar-islands,2019,3,Vivo,0.19577117546278885,4685
andaman-&-nicobar-islands,2019,3,Samsung,0.1883749112030421,4508
andaman-&-nicobar-islands,2019,3,Oppo,0.08808658225732313,2108
andaman-&-nicobar-islands,2019,3,Realme,0.04838911871630939,1158
andaman-&-nicobar-islands,2019,3,OnePlus,0.04366720989511512,1045
andaman-&-nicobar-islands,2019,3,Huawei,0.030295432702352597,725
andaman-&-nicobar-islands,2019,3,Motorola,0.02757929046007271,660
andaman-&-nicobar-islands,2019,3,Apple,0.026325686348251224,630
andaman-&-nicobar-islands,2019,3,Lenovo,0.020183026200325936,483
andaman-&-nicobar-islands,2019,3,Others,0.0881701558647779,2110
andaman-&-nicobar-islands,2019,4,Xiaomi,0.24110169491525424,6259
andaman-&-nicobar-islands,2019,4,Vivo,0.19992295839753466,5190
andaman-&-nicobar-islands,2019,4,Samsung,0.18875192604006163,4900
andaman-&-nicobar-islands,2019,4,Oppo,0.08971494607087828,2329
andaman-&-nicobar-islands,2019,4,Realme,0.051194144838212635,1329
andaman-&-nicobar-islands,2019,4,OnePlus,0.04329738058551618,1124
andaman-&-nicobar-islands,2019,4,Huawei,0.03073959938366718,798
andaman-&-nicobar-islands,2019,4,Motorola,0.026271186440677965,682
andaman-&-nicobar-islands,2019,4,Apple,0.026117103235747303,678
andaman-&-nicobar-islands,2019,4,Lenovo,0.018798151001540832,488
andaman-&-nicobar-islands,2019,4,Others,0.08409090909090909,2183
andaman-&-nicobar-islands,2020,1,Xiaomi,0.23981246474901297,6803
andaman-&-nicobar-islands,2020,1,Vivo,0.20727580372250423,5880
andaman-&-nicobar-islands,2020,1,Samsung,0.1880640157924422,5335
andaman-&-nicobar-islands,2020,1,Oppo,0.09013677382966723,2557
andaman-&-nicobar-islands,2020,1,Realme,0.05326424139875917,1511
andaman-&-nicobar-islands,2020,1,OnePlus,0.04173716864072194,1184
andaman-&-nicobar-islands,2020,1,Huawei,0.03140862944162436,891
andaman-&-nicobar-islands,2020,1,Apple,0.02590947546531303,735
andaman-&-nicobar-islands,2020,1,Motorola,0.025204455724760294,715
andaman-&-nicobar-islands,2020,1,Lenovo,0.017625493513818386,500
andaman-&-nicobar-islands,2020,1,Others,0.0795614777213762,2257
andaman-&-nicobar-islands,2020,2,Xiaomi,0.2386120452461021,7805
andaman-&-nicobar-islands,2020,2,Vivo,0.21773158055640476,7122
andaman-&-nicobar-islands,2020,2,Samsung,0.1843472944053806,6030
andaman-&-nicobar-islands,2020,2,Oppo,0.09098135126872516,2976
andaman-&-nicobar-islands,2020,2,Realme,0.053836747172118615,1761
andaman-&-nicobar-islands,2020,2,OnePlus,0.03885661877101804,1271
andaman-&-nicobar-islands,2020,2,Huawei,0.030724549067563438,1005
andaman-&-nicobar-islands,2020,2,Apple,0.024212778966676857,792
andaman-&-nicobar-islands,2020,2,Motorola,0.023815346988688476,779
andaman-&-nicobar-islands,2020,2,Lenovo,0.01687557321919902,552
andaman-&-nicobar-islands,2020,2,Others,0.0800061143381229,2617
andaman-&-nicobar-islands,2020,3,Xiaomi,0.2369420587879521,9794
andaman-&-nicobar-islands,2020,3,Vivo,0.23118422644248215,9556
andaman-&-nicobar-islands,2020,3,Samsung,0.18318616184831257,7572
andaman-&-nicobar-islands,2020,3,Oppo,0.09023829684286924,3730
andaman-&-nicobar-islands,2020,3,Realme,0.05528002903108745,2285
andaman-&-nicobar-islands,2020,3,OnePlus,0.03483730494738115,1440
andaman-&-nicobar-islands,2020,3,Huawei,0.029345590903592598,1213
andaman-&-nicobar-islands,2020,3,Motorola,0.021942663602274103,907
andaman-&-nicobar-islands,2020,3,Apple,0.021047538405709446,870
andaman-&-nicobar-islands,2020,3,Lenovo,0.014660699165356235,606
andaman-&-nicobar-islands,2020,3,Others,0.08133543002298295,3362
andaman-&-nicobar-islands,2020,4,Xiaomi,0.23662111611573403,12398
andaman-&-nicobar-islands,2020,4,Vivo,0.23427360867241775,12275
andaman-&-nicobar-islands,2020,4,Samsung,0.18967096724940835,9938
andaman-&-nicobar-islands,2020,4,Oppo,0.0901404687380716,4723
andaman-&-nicobar-islands,2020,4,Realme,0.05717993739980151,2996
andaman-&-nicobar-islands,2020,4,OnePlus,0.031261928391480266,1638
andaman-&-nicobar-islands,2020,4,Huawei,0.028093747614321703,1472
andaman-&-nicobar-islands,2020,4,Motorola,0.019696160012214674,1032
andaman-&-nicobar-islands,2020,4,Apple,0.018570119856477593,973
andaman-&-nicobar-islands,2020,4,Lenovo,0.01351248186884495,708
andaman-&-nicobar-islands,2020,4,Others,0.08097946408122758,4243
andaman-&-nicobar-islands,2021,1,Vivo,0.23913570414488036,13812
andaman-&-nicobar-islands,2021,1,Xiaomi,0.2374389694934035,13714
andaman-&-nicobar-islands,2021,1,Samsung,0.18804321479275599,10861
andaman-&-nicobar-islands,2021,1,Oppo,0.08930364624813879,5158
andaman-&-nicobar-islands,2021,1,Realme,0.05919526299387098,3419
andaman-&-nicobar-islands,2021,1,OnePlus,0.030697046296616917,1773
andaman-&-nicobar-islands,2021,1,Huawei,0.027268949755877972,1575
andaman-&-nicobar-islands,2021,1,Motorola,0.018387063263963433,1062
andaman-&-nicobar-islands,2021,1,Apple,0.018283181550607708,1056
andaman-&-nicobar-islands,2021,1,Tecno,0.013781640638526264,796
andaman-&-nicobar-islands,2021,1,Others,0.07846532082135808,4532
andaman-&-nicobar-islands,2021,2,Vivo,0.2424671873741847,15056
andaman-&-nicobar-islands,2021,2,Xiaomi,0.2381512199049843,14788
andaman-&-nicobar-islands,2021,2,Samsung,0.18481359207665674,11476
andaman-&-nicobar-islands,2021,2,Oppo,0.0878653675819309,5456
andaman-&-nicobar-islands,2021,2,Realme,0.06496497302520332,4034
andaman-&-nicobar-islands,2021,2,OnePlus,0.031902729688380704,1981
andaman-&-nicobar-islands,2021,2,Huawei,0.025106691360012885,1559
andaman-&-nicobar-islands,2021,2,Apple,0.018568322731298815,1153
andaman-&-nicobar-islands,2021,2,Motorola,0.0169739914646912,1054
andaman-&-nicobar-islands,2021,2,Tecno,0.015685642966422417,974
andaman-&-nicobar-islands,2021,2,Others,0.073500281826234,4564
andaman-&-nicobar-islands,2021,3,Vivo,0.24500612104744557,16411
andaman-&-nicobar-islands,2021,3,Xiaomi,0.2379445224090054,15938
andaman-&-nicobar-islands,2021,3,Samsung,0.17957063091576841,12028
andaman-&-nicobar-islands,2021,3,Oppo,0.0873816846316921,5853
andaman-&-nicobar-islands,2021,3,Realme,0.0717804783374638,4808
andaman-&-nicobar-islands,2021,3,OnePlus,0.03442715953539757,2306
andaman-&-nicobar-islands,2021,3,Huawei,0.023394344749335643,1567
andaman-&-nicobar-islands,2021,3,Apple,0.01915439968946881,1283
andaman-&-nicobar-islands,2021,3,Tecno,0.017586814368039175,1178
andaman-&-nicobar-islands,2021,3,Motorola,0.015183183541847063,1017
andaman-&-nicobar-islands,2021,3,Others,0.06857066077453644,4593
andaman-&-nicobar-islands,2021,4,Vivo,0.24515185288381164,17597
andaman-&-nicobar-islands,2021,4,Xiaomi,0.2363889662858735,16968
andaman-&-nicobar-islands,2021,4,Samsung,0.17517414321538033,12574
andaman-&-nicobar-islands,2021,4,Oppo,0.08535803845082196,6127
andaman-&-nicobar-islands,2021,4,Realme,0.08122039565338535,5830
andaman-&-nicobar-islands,2021,4,OnePlus,0.03748955140707718,2691
andaman-&-nicobar-islands,2021,4,Apple,0.020757871273335192,1490
andaman-&-nicobar-islands,2021,4,Huawei,0.020325996099191977,1459
andaman-&-nicobar-islands,2021,4,Tecno,0.01974087489551407,1417
andaman-&-nicobar-islands,2021,4,Motorola,0.014697687378099749,1055
andaman-&-nicobar-islands,2021,4,Others,0.06369462245750905,4572
andaman-&-nicobar-islands,2022,1,Vivo,0.24496644295302014,18688
andaman-&-nicobar-islands,2022,1,Xiaomi,0.23538433305369127,17957
andaman-&-nicobar-islands,2022,1,Samsung,0.16981700922818793,12955
andaman-&-nicobar-islands,2022,1,Realme,0.08872955117449664,6769
andaman-&-nicobar-islands,2022,1,Oppo,0.08469221895973154,6461
andaman-&-nicobar-islands,2022,1,OnePlus,0.039390205536912755,3005
andaman-&-nicobar-islands,2022,1,Tecno,0.02320155201342282,1770
andaman-&-nicobar-islands,2022,1,Apple,0.02141883389261745,1634
andaman-&-nicobar-islands,2022,1,Huawei,0.018888947147651006,1441
andaman-&-nicobar-islands,2022,1,Motorola,0.01376363255033557,1050
andaman-&-nicobar-islands,2022,1,Others,0.05974727348993288,4558
andhra-pradesh,2018,1,Xiaomi,0.25073985823255257,836581
andhra-pradesh,2018,1,Samsung,0.20491450493788307,683687
andhra-pradesh,2018,1,Vivo,0.1276683301113459,425959
andhra-pradesh,2018,1,Oppo,0.09126077117894768,304487
andhra-pradesh,2018,1,Realme,0.07092748280357865,236646
andhra-pradesh,2018,1,Motorola,0.03888534220503829,129739
andhra-pradesh,2018,1,OnePlus,0.03879003132071513,129421
andhra-pradesh,2018,1,Apple,0.03694765394356277,123274
andhra-pradesh,2018,1,Lenovo,0.025217821337049858,84138
andhra-pradesh,2018,1,Huawei,0.0229747186380734,76654
andhra-pradesh,2018,1,Others,0.09167348529125267,305864
andhra-pradesh,2018,2,Xiaomi,0.25299031922481113,1113800
andhra-pradesh,2018,2,Samsung,0.20517474003643352,903290
andhra-pradesh,2018,2,Vivo,0.13332417195528037,586965
andhra-pradesh,2018,2,Oppo,0.0932527586347881,410549
andhra-pradesh,2018,2,Realme,0.06949715391569412,305964
andhra-pradesh,2018,2,Motorola,0.03857932011974905,169847
andhra-pradesh,2018,2,OnePlus,0.035301893906699314,155418
andhra-pradesh,2018,2,Apple,0.03449077123660432,151847
andhra-pradesh,2018,2,Lenovo,0.024404321141886273,107441
andhra-pradesh,2018,2,Huawei,0.023379458221844663,102929
andhra-pradesh,2018,2,Others,0.08960509160620914,394490
andhra-pradesh,2018,3,Xiaomi,0.25519707820209125,1385112
andhra-pradesh,2018,3,Samsung,0.2032542089834268,1103186
andhra-pradesh,2018,3,Vivo,0.1403549660928544,761793
andhra-pradesh,2018,3,Oppo,0.09545994125967253,518120
andhra-pradesh,2018,3,Realme,0.06995924730871762,379712
andhra-pradesh,2018,3,Motorola,0.0375406002302668,203756
andhra-pradesh,2018,3,OnePlus,0.03341503278510624,181364
andhra-pradesh,2018,3,Apple,0.03230570616902408,175343
andhra-pradesh,2018,3,Huawei,0.02476759137573635,134429
andhra-pradesh,2018,3,Lenovo,0.0225677309213233,122489
andhra-pradesh,2018,3,Others,0.08517789667178063,462313
andhra-pradesh,2018,4,Xiaomi,0.2557528652585838,1753802
andhra-pradesh,2018,4,Samsung,0.20241770616277957,1388061
andhra-pradesh,2018,4,Vivo,0.1474587559237024,1011185
andhra-pradesh,2018,4,Oppo,0.09844724151643865,675093
andhra-pradesh,2018,4,Realme,0.06952275998121156,476746
andhra-pradesh,2018,4,Motorola,0.03654456078090136,250601
andhra-pradesh,2018,4,OnePlus,0.030647289668736397,210161
andhra-pradesh,2018,4,Apple,0.030585458735216172,209737
andhra-pradesh,2018,4,Huawei,0.025700231676424726,176237
andhra-pradesh,2018,4,Lenovo,0.021813340869707494,149583
andhra-pradesh,2018,4,Others,0.08110978942629789,556203
andhra-pradesh,2019,1,Xiaomi,0.2548040756637163,2110547
andhra-pradesh,2019,1,Samsung,0.2038317188455079,1688342
andhra-pradesh,2019,1,Vivo,0.15246506135021543,1262871
andhra-pradesh,2019,1,Oppo,0.10087396877877498,835541
andhra-pradesh,2019,1,Realme,0.06819156155503205,564832
andhra-pradesh,2019,1,Motorola,0.03523232290062355,291830
andhra-pradesh,2019,1,Apple,0.02910871024200234,241108
andhra-pradesh,2019,1,OnePlus,0.028645231889483775,237269
andhra-pradesh,2019,1,Huawei,0.026570263813230417,220082
andhra-pradesh,2019,1,Lenovo,0.020701509920477063,171471
andhra-pradesh,2019,1,Others,0.07957557504093617,659126
andhra-pradesh,2019,2,Xiaomi,0.25448644547243193,2389374
andhra-pradesh,2019,2,Samsung,0.20389577040288517,1914378
andhra-pradesh,2019,2,Vivo,0.15621413690037164,1466695
andhra-pradesh,2019,2,Oppo,0.10260429142476576,963352
andhra-pradesh,2019,2,Realme,0.0683266370241867,641519
andhra-pradesh,2019,2,Motorola,0.03459131922739827,324778
andhra-pradesh,2019,2,Apple,0.028209597973288536,264860
andhra-pradesh,2019,2,OnePlus,0.027082002210458343,254273
andhra-pradesh,2019,2,Huawei,0.026718385328026843,250859
andhra-pradesh,2019,2,Lenovo,0.020146015503456544,189151
andhra-pradesh,2019,2,Others,0.07772539853273026,729764
andhra-pradesh,2019,3,Xiaomi,0.2539961733268201,2656468
andhra-pradesh,2019,3,Samsung,0.20305204483963724,2123659
andhra-pradesh,2019,3,Vivo,0.16006866249922433,1674109
andhra-pradesh,2019,3,Oppo,0.10399578608914135,1087660
andhra-pradesh,2019,3,Realme,0.0696037258192778,727964
andhra-pradesh,2019,3,Motorola,0.03336076505926697,348910
andhra-pradesh,2019,3,Apple,0.02738506618370001,286412
andhra-pradesh,2019,3,Huawei,0.02701934170933213,282587
andhra-pradesh,2019,3,OnePlus,0.02592102091532852,271100
andhra-pradesh,2019,3,Lenovo,0.018566373446471753,194180
andhra-pradesh,2019,3,Others,0.07703104011179981,805644
andhra-pradesh,2019,4,Xiaomi,0.25395328393725297,2985953
andhra-pradesh,2019,4,Samsung,0.20234416348589282,2379139
andhra-pradesh,2019,4,Vivo,0.1634767925484545,1922141
andhra-pradesh,2019,4,Oppo,0.10556619758846043,1241235
andhra-pradesh,2019,4,Realme,0.07183844234544604,844668
andhra-pradesh,2019,4,Motorola,0.03246264654955318,381692
andhra-pradesh,2019,4,Huawei,0.026985299989802584,317290
andhra-pradesh,2019,4,Apple,0.026225299231162617,308354
andhra-pradesh,2019,4,OnePlus,0.0243591469654869,286412
andhra-pradesh,2019,4,Lenovo,0.01775702309675985,208785
andhra-pradesh,2019,4,Others,0.07503170426172807,882214
andhra-pradesh,2020,1,Xiaomi,0.25399529721104036,3307542
andhra-pradesh,2020,1,Samsung,0.20140914724705614,2622762
andhra-pradesh,2020,1,Vivo,0.16625725883615955,2165012
andhra-pradesh,2020,1,Oppo,0.10651617332434346,1387060
andhra-pradesh,2020,1,Realme,0.0737531542628432,960418
andhra-pradesh,2020,1,Motorola,0.0315665877748989,411062
andhra-pradesh,2020,1,Huawei,0.026748763252511507,348324
andhra-pradesh,2020,1,Apple,0.02529008467170325,329329
andhra-pradesh,2020,1,OnePlus,0.022954202330506848,298911
andhra-pradesh,2020,1,Lenovo,0.017443783856010493,227154
andhra-pradesh,2020,1,Others,0.07406554723292628,964486
andhra-pradesh,2020,2,Xiaomi,0.25388802469329785,3635594
andhra-pradesh,2020,2,Samsung,0.2016909601649479,2888149
andhra-pradesh,2020,2,Vivo,0.16825793881495216,2409399
andhra-pradesh,2020,2,Oppo,0.1072041788657913,1535129
andhra-pradesh,2020,2,Realme,0.07487355683700922,1072165
andhra-pradesh,2020,2,Motorola,0.031102661198665473,445380
andhra-pradesh,2020,2,Huawei,0.026482444608554315,379220
andhra-pradesh,2020,2,Apple,0.024367731809555735,348938
andhra-pradesh,2020,2,OnePlus,0.0215932274999258,309208
andhra-pradesh,2020,2,Lenovo,0.01698977106673161,243288
andhra-pradesh,2020,2,Others,0.07354950444056865,1053205
andhra-pradesh,2020,3,Xiaomi,0.25354870716120315,3978789
andhra-pradesh,2020,3,Samsung,0.2009902242517957,3154020
andhra-pradesh,2020,3,Vivo,0.17129280056180043,2687996
andhra-pradesh,2020,3,Oppo,0.10806010933314555,1695723
andhra-pradesh,2020,3,Realme,0.07695582671999607,1207622
andhra-pradesh,2020,3,Motorola,0.03041681628787939,477313
andhra-pradesh,2020,3,Huawei,0.026032975824929323,408520
andhra-pradesh,2020,3,Apple,0.023599123270142467,370327
andhra-pradesh,2020,3,OnePlus,0.020521264904901446,322028
andhra-pradesh,2020,3,Lenovo,0.01662664199655821,260912
andhra-pradesh,2020,3,Others,0.07195550968764826,1129155
andhra-pradesh,2020,4,Xiaomi,0.2533098430509883,4325662
andhra-pradesh,2020,4,Samsung,0.20026662270778695,3419866
andhra-pradesh,2020,4,Vivo,0.1727848662772636,2950572
andhra-pradesh,2020,4,Oppo,0.10869000879275194,1856052
andhra-pradesh,2020,4,Realme,0.07972862223755187,1361491
andhra-pradesh,2020,4,Motorola,0.02964050439886476,506158
andhra-pradesh,2020,4,Huawei,0.025597946659647302,437125
andhra-pradesh,2020,4,Apple,0.02308374078744759,394191
andhra-pradesh,2020,4,OnePlus,0.019706422222502008,336518
andhra-pradesh,2020,4,Lenovo,0.016201794681775874,276671
andhra-pradesh,2020,4,Others,0.07098962818341979,1212259
andhra-pradesh,2021,1,Xiaomi,0.2529246640647629,4644641
andhra-pradesh,2021,1,Samsung,0.19797695817075972,3635596
andhra-pradesh,2021,1,Vivo,0.17671521362241543,3245151
andhra-pradesh,2021,1,Oppo,0.10948242386229423,2010506
andhra-pradesh,2021,1,Realme,0.0834059719774841,1531645
andhra-pradesh,2021,1,Motorola,0.028214034695451085,518115
andhra-pradesh,2021,1,Huawei,0.024809988252388553,455604
andhra-pradesh,2021,1,Apple,0.022925730841327305,421002
andhra-pradesh,2021,1,OnePlus,0.019381789094842537,355922
andhra-pradesh,2021,1,Lenovo,0.015137445093543889,277980
andhra-pradesh,2021,1,Others,0.06902578032473027,1267571
andhra-pradesh,2021,2,Xiaomi,0.25165424326757607,4937684
andhra-pradesh,2021,2,Samsung,0.19358179451967175,3798250
andhra-pradesh,2021,2,Vivo,0.18205786124544204,3572140
andhra-pradesh,2021,2,Oppo,0.11075110959458802,2173037
andhra-pradesh,2021,2,Realme,0.09264628721254192,1817804
andhra-pradesh,2021,2,Motorola,0.0256395920575529,503072
andhra-pradesh,2021,2,Apple,0.022969837527881613,450689
andhra-pradesh,2021,2,Huawei,0.022441574432983596,440324
andhra-pradesh,2021,2,OnePlus,0.020123995299910987,394851
andhra-pradesh,2021,2,Lenovo,0.013312382889576195,261201
andhra-pradesh,2021,2,Others,0.06482132195227489,1271853
andhra-pradesh,2021,3,Xiaomi,0.249607429247758,5256707
andhra-pradesh,2021,3,Vivo,0.18905561650868394,3981492
andhra-pradesh,2021,3,Samsung,0.18571732873540034,3911188
andhra-pradesh,2021,3,Oppo,0.11312319746277974,2382363
andhra-pradesh,2021,3,Realme,0.10135927533932025,2134616
andhra-pradesh,2021,3,Motorola,0.023123141432118997,486971
andhra-pradesh,2021,3,Apple,0.022839284406790575,480993
andhra-pradesh,2021,3,OnePlus,0.021795499674309913,459011
andhra-pradesh,2021,3,Huawei,0.020665532188237568,435214
andhra-pradesh,2021,3,Lenovo,0.011644928194808921,245241
andhra-pradesh,2021,3,Others,0.061068766809791765,1286102
andhra-pradesh,2021,4,Xiaomi,0.24537466690980744,5518238
andhra-pradesh,2021,4,Vivo,0.19480712128567224,4381023
andhra-pradesh,2021,4,Samsung,0.17863905996119264,4017419
andhra-pradesh,2021,4,Oppo,0.1147601792856419,2580845
andhra-pradesh,2021,4,Realme,0.11244967490592858,2528884
andhra-pradesh,2021,4,Apple,0.024233416213745824,544986
andhra-pradesh,2021,4,OnePlus,0.023361302082006298,525373
andhra-pradesh,2021,4,Motorola,0.02109570848968179,474422
andhra-pradesh,2021,4,Huawei,0.01822817694796872,409934
andhra-pradesh,2021,4,Lenovo,0.009977798507885778,224391
andhra-pradesh,2021,4,Others,0.05707289541046881,1283514
andhra-pradesh,2022,1,Xiaomi,0.24073240824411116,5743382
andhra-pradesh,2022,1,Vivo,0.20004924144575534,4772765
andhra-pradesh,2022,1,Samsung,0.17286882683261443,4124296
andhra-pradesh,2022,1,Realme,0.12004769395326531,2864092
andhra-pradesh,2022,1,Oppo,0.11656382394280212,2780974
andhra-pradesh,2022,1,Apple,0.024897485957616393,594003
andhra-pradesh,2022,1,OnePlus,0.024341444912851066,580737
andhra-pradesh,2022,1,Motorola,0.019433856662711732,463652
andhra-pradesh,2022,1,Huawei,0.0168278072161352,401477
andhra-pradesh,2022,1,Lenovo,0.009329636061370064,222586
andhra-pradesh,2022,1,Others,0.0549077747707672,1309987
arunachal-pradesh,2018,1,Xiaomi,0.24247499418469412,5212
arunachal-pradesh,2018,1,Samsung,0.2025587345894394,4354
arunachal-pradesh,2018,1,Vivo,0.16389858106536404,3523
arunachal-pradesh,2018,1,Oppo,0.12133054198650849,2608
arunachal-pradesh,2018,1,Realme,0.06033961386368923,1297
arunachal-pradesh,2018,1,Apple,0.029216096766689927,628
arunachal-pradesh,2018,1,Gionee,0.02619213770644336,563
arunachal-pradesh,2018,1,Lenovo,0.019539427773900907,420
arunachal-pradesh,2018,1,OnePlus,0.018748546173528727,403
arunachal-pradesh,2018,1,Motorola,0.015957199348685742,343
arunachal-pradesh,2018,1,Others,0.09974412654105606,2144
arunachal-pradesh,2018,2,Xiaomi,0.24505063406623484,8058
arunachal-pradesh,2018,2,Samsung,0.20171517197336009,6633
arunachal-pradesh,2018,2,Vivo,0.17002706565702644,5591
arunachal-pradesh,2018,2,Oppo,0.12784721588662834,4204
arunachal-pradesh,2018,2,Realme,0.0590882826992671,1943
arunachal-pradesh,2018,2,Apple,0.026427029164005716,869
arunachal-pradesh,2018,2,Gionee,0.022199920931788464,730
arunachal-pradesh,2018,2,Lenovo,0.017668704193656296,581
arunachal-pradesh,2018,2,OnePlus,0.01684761122768604,554
arunachal-pradesh,2018,2,Motorola,0.015631177204026396,514
arunachal-pradesh,2018,2,Others,0.09749718699632029,3206
arunachal-pradesh,2018,3,Xiaomi,0.24498061931100562,11250
arunachal-pradesh,2018,3,Samsung,0.20266974434911372,9307
arunachal-pradesh,2018,3,Vivo,0.1791298288402073,8226
arunachal-pradesh,2018,3,Oppo,0.13048212185880406,5992
arunachal-pradesh,2018,3,Realme,0.05827272331344454,2676
arunachal-pradesh,2018,3,Apple,0.02510779147249684,1153
arunachal-pradesh,2018,3,Gionee,0.02229868037106398,1024
arunachal-pradesh,2018,3,OnePlus,0.016114280736901705,740
arunachal-pradesh,2018,3,Motorola,0.015722311746004095,722
arunachal-pradesh,2018,3,Lenovo,0.013697138626366448,629
arunachal-pradesh,2018,3,Others,0.0915247593745917,4203
arunachal-pradesh,2018,4,Xiaomi,0.24408264890383496,15097
arunachal-pradesh,2018,4,Samsung,0.20338873439824096,12580
arunachal-pradesh,2018,4,Vivo,0.18793248399405033,11624
arunachal-pradesh,2018,4,Oppo,0.13464398887667334,8328
arunachal-pradesh,2018,4,Realme,0.0584136325421975,3613
arunachal-pradesh,2018,4,Apple,0.02452628855978788,1517
arunachal-pradesh,2018,4,Gionee,0.01920713962361767,1188
arunachal-pradesh,2018,4,Motorola,0.015262238892840976,944
arunachal-pradesh,2018,4,OnePlus,0.014486192847442281,896
arunachal-pradesh,2018,4,Lenovo,0.013435297160964884,831
arunachal-pradesh,2018,4,Others,0.08462135420034922,5234
